DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R840,Z,Z,Parallel,Active,1700 Block 6 AV NW,Collector,E,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.098641 51.0575562, -114.0987358 51.057556, -114.0989327 51.0575555, -114.0991296 51.057555, -114.0992484 51.0575548, -114.0992498 51.0575548))",8d5d67f9-683f-4a12-b663-e32560c5ca7e
R1110,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1213625 51.0820441, -114.1231883 51.0825275))",bedfa307-1456-4bd6-ba1e-e7bd0e7f98cb
R1114,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0455034 51.0377927, -114.045505 51.0377927, -114.0455774 51.0377925, -114.0457756 51.037792, -114.0459285 51.0377916))",5232f3cc-79e9-4185-9a7a-927077d8ad3f
R1838,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1233199 51.0825637, -114.1233826 51.0825809, -114.1234352 51.0825947, -114.123447 51.0825978))",3c640b3e-70ba-4a23-ba2d-a321de79585d
R203,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0450259 51.0377927, -114.0452942 51.0377924))",0fbecf6b-6cb5-4413-84d6-805edb7179a2
R6973,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1202903 51.0817056, -114.1204806 51.081799, -114.1205208 51.0818137, -114.1205585 51.081827, -114.1206049 51.0818422, -114.1206806 51.0818639, -114.1207646 51.0818852, -114.1208612 51.0819107, -114.1209332 51.0819304, -114.1209872 51.0819447, -114.1213625 51.0820441))",046e323e-3c77-4ab8-8f3d-0579893bd010
R762,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1235466 51.0826239, -114.1236092 51.0826411, -114.1236642 51.0826579, -114.1237248 51.0826825, -114.1237667 51.0826965, -114.1237967 51.0827111, -114.123841 51.0827354, -114.1241137 51.0829043))",e20be307-e71c-4baa-9442-ae23467d3b15
R4471,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,N,0001-2359 MON-SUN,,,Special Permit,NONE,FR,SW,"MULTILINESTRING ((-114.0807993 51.0510765, -114.0808061 51.0509978))",648168d5-0c56-4290-afa0-15667695a150
R1000,AA,AA,Parallel,Active,00 Block COLLINGWOOD PL NW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,NW,"MULTILINESTRING ((-114.1024482 51.0869114, -114.1024585 51.0869242, -114.1024708 51.0869367, -114.1024845 51.0869466, -114.102494 51.0869532, -114.1025074 51.0869597, -114.1025266 51.0869702, -114.1025583 51.0869813, -114.1037599 51.0872301, -114.1038032 51.0872248, -114.103832 51.0872157))",6d372f87-093d-41dd-afaa-bbb01d67001b
R1151,EE,EE,Parallel,Active,4400 Block RICHARDSON LINK SW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,SW,"MULTILINESTRING ((-114.1348523 51.0153255, -114.1350228 51.0154145))",3955c691-eb51-47f5-9f34-4fb1e4d4c795
R1787,F,F,Parallel,Active,1300 Block 17 AV NW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,NW,"MULTILINESTRING ((-114.0899644 51.0678106, -114.0911404 51.0678076, -114.0920362 51.0678104))",80a4f80d-1241-4aab-9c40-1924ef10f4ca
R1918,C,C,Parallel,Active,100 Block 15 AV SE,Residential Street,E,0001-2359 MON-SUN,,,Permit Required,NONE,FL,SE,"MULTILINESTRING ((-114.0616297 51.0385923, -114.0614518 51.0385881))",30692162-88b1-4b0a-aaa5-a2fd8bb378b2
R1925,O,O,Parallel,Active,2100 Block 20 AV SW,Collector,E,0001-2359 MON-SUN,,,Permit Required,NONE,FR,SW,"MULTILINESTRING ((-114.1105104 51.0352638, -114.1106017 51.035257))",09d42ebb-c989-496c-8eb4-df108327bcb4
R4473,NA,NA,Parallel,Active,400 Block 10 ST SW,Residential Street,N,0001-2359 MON-SUN,,,30,NONE,FR,SW,"MULTILINESTRING ((-114.085863 51.0493815, -114.0858782 51.0491694))",8dda6b6e-cdda-490d-80af-78c4f2952546
R4476,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,N,0001-2359 SUN,,,Special Permit,SUN,FR,SW,"MULTILINESTRING ((-114.080767 51.051211, -114.0807863 51.0511598, -114.0807963 51.0511129))",167d0bd8-b25e-4611-8c14-4535c38ec351
R1673,ZZ,ZZ,Parallel,Active,2400 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0611039 51.0314569, -114.0611098 51.0306271, -114.0611061 51.0306043))",e677b093-31db-43e9-9805-1a7c5ff8b44e
R1674,ZZ,ZZ,Parallel,Active,2300 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610879 51.033227, -114.0610905 51.0332116, -114.0610984 51.0324819))",10fd595a-eae9-460b-a66e-6dea6923a9ed
R4518,NA,NA,Parallel,Active,800 Block 5 ST SE,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0507032 51.0450027, -114.050697 51.0449992, -114.0506931 51.0449973, -114.0506899 51.044995, -114.0506873 51.0449923, -114.0506854 51.0449895, -114.0506844 51.0449865, -114.0506842 51.0449834, -114.0506909 51.0448892, -114.0507056 51.0446804, -114.0507186 51.0444977, -114.0507194 51.0444854, -114.0507209 51.0444781, -114.0507243 51.044471, -114.0507295 51.0444644, -114.0507325 51.0444608, -114.050735 51.0444572))",fe7fd12a-a449-4c99-9cee-0dd0ce717b99
R5201,ZZ,ZZ,Parallel,Active,2400 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610782 51.0318469, -114.0610858 51.0318392, -114.061087 51.031838, -114.0610881 51.0318369, -114.0610892 51.0318357, -114.0610903 51.0318345, -114.0610912 51.0318333, -114.0610925 51.0318316, -114.0610937 51.0318298, -114.0610948 51.0318281, -114.0610959 51.0318264, -114.061097 51.0318246, -114.0610976 51.0318235, -114.0610983 51.0318223, -114.0610989 51.0318212, -114.0610995 51.03182, -114.0611001 51.0318189, -114.0611008 51.0318174, -114.0611014 51.031816, -114.061102 51.0318145, -114.0611025 51.0318131, -114.0611029 51.0318116, -114.0611034 51.0318097, -114.0611037 51.0318078, -114.061104 51.0318059, -114.0611043 51.0318039, -114.0611044 51.031802, -114.0611046 51.0317999, -114.0611047 51.0317978, -114.0611049 51.0317958, -114.061105 51.0317937, -114.0611051 51.0317916, -114.0611052 51.0317893, -114.0611054 51.031787, -114.0611055 51.0317848, -114.0611056 51.0317825, -114.0611057 51.0317802, -114.0611058 51.0317775, -114.0611058 51.0317748, -114.0611059 51.031772, -114.0611059 51.0317693, -114.0611059 51.0317666, -114.061106 51.0317623, -114.0611061 51.031758, -114.0611062 51.0317538, -114.0611062 51.0317495, -114.0611061 51.0317452, -114.0611058 51.0317385, -114.0611055 51.0317317, -114.0611051 51.031725, -114.0611047 51.0317182, -114.0611044 51.0317114, -114.0611038 51.0317008, -114.0611032 51.0316902, -114.0611026 51.0316796, -114.061102 51.031669, -114.0611015 51.0316584, -114.061101 51.0316455, -114.061101 51.0316326, -114.0611013 51.0316197, -114.0611018 51.0316067, -114.0611024 51.0315938, -114.0611027 51.0315357, -114.0611039 51.0314588, -114.0611039 51.0314569))",3c10dc4b-62d0-4037-81a9-e298343570bd
R7152,ZZ,ZZ,Parallel,Active,2300 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610984 51.0324819, -114.061103 51.0320552, -114.061102 51.0320357, -114.0610984 51.0320226, -114.0610919 51.0320102))",c2b69b87-8832-4b05-a07a-893370113443
R1764,Z,Z,Parallel,Active,600 Block 16A ST NW,Residential Street,N,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.0992978 51.0574447, -114.0992958 51.0564045))",39cb181b-77f8-40a0-9c44-1659e80bc5e8
