DESCRIPTION,PARKING_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,GLOBALID
SCH549,NA,Parallel,Active,Canyon Meadows School,Collector,E,0001-2359 MON-FRI,,0001-2359 MON-FRI,NONE,0700-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.0775673 50.9477791, -114.0775844 50.9477815, -114.0776015 50.9477837, -114.0776186 50.9477859, -114.0776357 50.9477879, -114.0776569 50.9477903, -114.077678 50.9477925, -114.0776992 50.9477946, -114.0777204 50.9477965, -114.0777416 50.9477983, -114.0777597 50.9477998, -114.0777778 50.947801, -114.0777959 50.9478022, -114.0778141 50.9478032, -114.0778322 50.947804, -114.0778485 50.9478046, -114.0778647 50.9478052, -114.077881 50.9478056, -114.0778972 50.9478059, -114.0779135 50.947806, -114.0779323 50.947806, -114.077951 50.947806, -114.0779698 50.9478059, -114.0779886 50.9478059, -114.0780074 50.9478059, -114.0780481 50.947806, -114.0780888 50.947806, -114.0781295 50.947806, -114.0781702 50.947806, -114.0781806 50.947806))",520aee61-60d4-46d9-9d05-ed431dead781
SCH585,NA,Parallel,Active,Briar Hill School,Residential Street,E,0001-2359 MON-FRI,,0001-2359 MON-FRI,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1109399 51.0633276, -114.1110789 51.0633274))",51635c83-6a70-449e-859d-6a0f90dade61
SCH1035,NA,Parallel,Active,All Saints High School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0251961 50.8596671, -114.025214 50.8596706, -114.0255818 50.8597346, -114.0255957 50.8597364, -114.0256098 50.8597367, -114.0256238 50.8597357, -114.0256374 50.8597333, -114.0256503 50.8597297, -114.0256679 50.8597248, -114.0256866 50.8597219, -114.0257058 50.859721, -114.0257249 50.8597222))",1e6e2c38-7f95-4d6c-8fd3-9531196e6cc0
SCH1037,NA,Parallel,Active,All Saints High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.027188 50.860031, -114.0272189 50.8600417, -114.0273238 50.8600797, -114.0274269 50.8601194))",6eea6ffe-9ad2-4ed9-9615-8bf0257521e6
SCH1041,SS,Parallel,Active,St Rupert School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9712436 51.0779447, -113.9712844 51.0779383, -113.9713069 51.0779348, -113.9714227 51.0779167, -113.9715039 51.0779046, -113.9715747 51.0778937, -113.9716423 51.0778839, -113.9717267 51.077873, -113.9717535 51.07787))",2115d787-0436-4d00-9e06-dde27daaf1a5
SCH1042,SS,Parallel,Active,St Rupert School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9701105 51.0780641, -113.9701262 51.0780646, -113.9701803 51.078064, -113.9702599 51.0780622, -113.9703668 51.0780578, -113.9704621 51.0780505, -113.9705603 51.0780428, -113.9706516 51.0780336, -113.970756 51.0780197, -113.9708342 51.0780082, -113.9709282 51.0779936, -113.9710064 51.0779811))",653b3b2b-6ed9-49b2-8642-e8bf78cfd56b
SCH1054,NA,Parallel,Active,Alex Munro School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-114.0607331 51.1211896, -114.0611531 51.1211893))",c62b3a8f-47ca-4897-ada0-886989e7b6a9
SCH111,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0855733 50.909635, -114.0855867 50.9096301, -114.0856002 50.9096252, -114.0856136 50.9096203, -114.0856271 50.9096154, -114.0856406 50.9096105, -114.085653 50.909606, -114.0856654 50.9096015, -114.0856778 50.9095971, -114.0856904 50.9095927, -114.0857029 50.9095884, -114.0857167 50.909584, -114.0857586 50.9095716))",a2e4101f-2211-4eea-bdb3-0cea005c4ca7
SCH112,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0852449 50.9097675, -114.0852674 50.9097573, -114.0852756 50.9097536, -114.0852892 50.9097475, -114.0853024 50.9097416, -114.0853157 50.9097358, -114.085329 50.9097301, -114.0853423 50.9097244, -114.0853557 50.9097187, -114.0853692 50.909713, -114.0853828 50.9097074, -114.0853964 50.9097017, -114.08541 50.9096961, -114.0854237 50.9096906, -114.0854381 50.9096848, -114.0854526 50.909679, -114.0854672 50.9096733, -114.0854818 50.9096678, -114.0854966 50.9096623, -114.0855119 50.9096568, -114.0855273 50.9096513, -114.0855426 50.9096459, -114.085558 50.9096405, -114.0855733 50.909635))",4e226934-ecb6-401c-ae07-2dd7f4438fdb
SCH113,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0842837 50.910222, -114.0843231 50.9102055, -114.0843389 50.910199, -114.0843546 50.9101925, -114.0843704 50.910186, -114.0843862 50.9101795, -114.0844018 50.910173, -114.0844129 50.9101683, -114.0844239 50.9101636, -114.0844349 50.9101588, -114.0844459 50.9101541, -114.0844568 50.9101493, -114.0844692 50.9101438, -114.0844815 50.9101383, -114.0844938 50.9101328, -114.0845061 50.9101273, -114.0845185 50.9101219, -114.0845326 50.9101158, -114.0845467 50.9101098))",f805a74a-0ebd-4185-bc56-c9fde3d105f0
SCH124,FHT,Parallel,Active,Keeler School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9638945 51.0495903, -113.9639649 51.0496145, -113.9640394 51.0496401, -113.9640915 51.0496592, -113.9641463 51.0496776, -113.9641741 51.0496884, -113.9642381 51.0497106, -113.9642881 51.0497267, -113.964349 51.0497492, -113.964408 51.0497697, -113.9644587 51.0497864))",93543e29-3056-41e6-aa77-a8cef78f163a
SCH125,FHT,Parallel,Active,Keeler School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9645648 51.0498238, -113.9646352 51.0498478, -113.964676 51.0498619, -113.9647356 51.049883, -113.9647701 51.0498958, -113.9648107 51.0499087, -113.9648525 51.0499181))",15de90c5-7f1e-4429-a2f5-6db48c27a26c
