PARKING_ZONE,ZONE_CAP,SEG_CAP,ZONE_TYPE,STALL_TYPE,ADDRESS_DESC,BLOCK_SIDE,PERMIT_ZONE,STATUS,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,PARKING_RESTRICT_TIME,NO_PARKING,NO_STOPPING,line,BRZ_NAME
3329,,,Parking Zone,Parallel,"12 Av SW ,  Fr 8 St SW To 9 St SW",N,3329,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.083759 51.0420508, -114.0834598 51.0420425))",Beltline
1448,,,Parking Zone,Parallel,"4 Av SW ,  Fr 10 St SW To 11 St SW",S,1448,Active,7,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.086198 51.049459, -114.0862108 51.0494528, -114.0862253 51.0494471, -114.086232 51.0494448, -114.0862392 51.0494426, -114.0862483 51.0494436, -114.0862554 51.049443, -114.0869464 51.0492233, -114.0869629 51.0492208))",Downtown
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0924862 51.0442037, -114.0923087 51.0441987))",
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.092106 51.044193, -114.0920051 51.0441902))",
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0918706 51.0441864, -114.0916854 51.0441812))",
5299,,,Parking Zone,Parallel,"9 Av SE ,  Fr 11 St SE To 12 St SE",N,5299,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0362994 51.0420818, -114.0348916 51.0415344))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.033877 51.0411409, -114.0329668 51.0407869))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.032318 51.040536, -114.0319897 51.0404091))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0328054 51.0407244, -114.0324772 51.0405975))",Inglewood
4642,,,Parking Zone,Parallel,"4 St SW ,  Fr 17 Av SW To 18 Av SW",W,4642,Active,13,"0910-1520 MON-FRI, 0910-1750 SAT",60,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0716028 51.0370538, -114.0716024 51.0373271))",4 Street SW
